ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.usr3X.SEQ_STEP13._reserve_,151023780,8,28290,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP13._reserve_,151023788,8,28298,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP13._reserve_,151023796,8,28306,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP13._reserve_,151023804,8,28314,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP13._reserve_,151023812,8,28322,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP13._reserve_,151023820,8,28330,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP13._reserve_,151023828,8,28338,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP13._reserve_,151023836,8,28346,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP13._reserve_,151023844,8,28354,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP14.STEP SEQ Note (voice 1),151025664,1,28362,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP14.STEP SEQ Note (voice 2),151025665,1,28363,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP14.STEP SEQ Note (voice 3),151025666,1,28364,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP14.STEP SEQ Note (voice 4),151025667,1,28365,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP14.STEP SEQ Note (voice 5),151025668,1,28366,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP14.STEP SEQ Note (voice 6),151025669,1,28367,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP14.STEP SEQ Note (voice 7),151025670,1,28368,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP14.STEP SEQ Note (voice 8),151025671,1,28369,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP14.STEP SEQ Velo (voice 1),151025672,1,28370,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP14.STEP SEQ Velo (voice 2),151025673,1,28371,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP14.STEP SEQ Velo (voice 3),151025674,1,28372,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP14.STEP SEQ Velo (voice 4),151025675,1,28373,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP14.STEP SEQ Velo (voice 5),151025676,1,28374,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP14.STEP SEQ Velo (voice 6),151025677,1,28375,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP14.STEP SEQ Velo (voice 7),151025678,1,28376,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP14.STEP SEQ Velo (voice 8),151025679,1,28377,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP14.STEP SEQ Gate (voice 1),151025680,1,28378,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP14.STEP SEQ Gate (voice 2),151025681,1,28379,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP14.STEP SEQ Gate (voice 3),151025682,1,28380,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP14.STEP SEQ Gate (voice 4),151025683,1,28381,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP14.STEP SEQ Gate (voice 5),151025684,1,28382,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP14.STEP SEQ Gate (voice 6),151025685,1,28383,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP14.STEP SEQ Gate (voice 7),151025686,1,28384,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP14.STEP SEQ Gate (voice 8),151025687,1,28385,1,int,1,7,"0,99",49
fm.usr3X.SEQ_STEP14.STEP SEQ Note Flag,151025688,8,28386,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP14.STEP SEQ Slide Flag,151025696,8,28394,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP14.STEP SEQ Mute Flag,151025704,8,28402,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP14.STEP SEQ Assign 1 Target,151025712,8,28410,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP14.STEP SEQ Assign 2 Target,151025720,8,28418,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP14.STEP SEQ Assign 3 Target,151025728,8,28426,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP14.STEP SEQ Assign 4 Target,151025736,8,28434,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP14.STEP SEQ Assign 1 Value,151025744,8,28442,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP14.STEP SEQ Assign 2 Value,151025752,8,28450,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP14.STEP SEQ Assign 3 Value,151025760,8,28458,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP14.STEP SEQ Assign 4 Value,151025768,8,28466,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP14.STEP SEQ Assign 1 Transient,151025776,1,28474,1,int,1,7,"0,5",0
fm.usr3X.SEQ_STEP14.STEP SEQ Assign 2 Transient,151025777,1,28475,1,int,1,7,"0,5",0
fm.usr3X.SEQ_STEP14.STEP SEQ Assign 3 Transient,151025778,1,28476,1,int,1,7,"0,5",0
fm.usr3X.SEQ_STEP14.STEP SEQ Assign 4 Transient,151025779,1,28477,1,int,1,7,"0,5",0
fm.usr3X.SEQ_STEP14.STEP SEQ Assign Flag,151025780,8,28478,8,int,8,4,"0,2147483647",0
fm.usr3X.SEQ_STEP14._reserve_,151025788,8,28486,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP14._reserve_,151025796,8,28494,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP14._reserve_,151025804,8,28502,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP14._reserve_,151025812,8,28510,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP14._reserve_,151025820,8,28518,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP14._reserve_,151025828,8,28526,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP14._reserve_,151025836,8,28534,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP14._reserve_,151025844,8,28542,8,int,8,4,"0,0",0
